,제목,가사,가수,발매일,좋아요수,장르
2909,사랑의 불꽃,"첫 눈에 빠지게 하고
그렇게 딴청만 피우나요
이 가슴에 뜨겁게 타는
이 사랑은 어찌하라고
줄 듯이 줄 듯이
마음 줄 듯이
그래 놓고 이러긴가요
사랑의 불꽃을
재워줄 한 사람
오직 하나 그대뿐인걸
사랑 사랑이 이런 건가요
애가 타고 속이 끓나요
첫 눈에 빠졌으면서
그렇게 아닌 척 하나요
그 가슴에 뜨겁게 타는
그 사랑은 어찌하려고
줄 듯이 줄 듯이
마음 줄 듯이
그래 놓고 이러긴가요
사랑의 불꽃을
재워줄 한 사람
오직 하나 그대뿐인걸
사랑 사랑이 이런 건가요
애가 타고 속이 끓나요
애가 타고 속이 끓나요",진해성,2017.08.17,456,성인가요/트로트
2910,안돼요,"사랑에 빠져 본 적이 있나요
아무것도 모르는 그 사람에게
내 앞에 다가오는 당신 모습에
내 가슴은 왜 이렇게 뛰는지
당신도 나를 바라 보네요
아무것도 모르는 나란 사람을
살며시 미소짓는 당신 모습에
내 마음을 빼앗겨 버렸네
사랑한단 말은 하지 않아도
당신대신 내가 해주고
두손을 마주 잡고서 영원토록
살고 싶은데 안돼요
아니아니 안돼요
다른 사람은 찾지 말아요
당신곁엔 내가 있어요
우리사랑 영원하도록
사랑한단 말은 하지 않아도
당신대신 내가 해주고
두손을 마주 잡고서 영원토록
살고 싶은데 안돼요
아니아니 안돼요
다른 사람은 찾지 말아요
당신곁엔 내가 있어요
우리사랑 영원하도록
안돼요 아니아니 안돼요
다른 사람은 찾지 말아요
당신곁엔 내가 있어요
우리사랑 영원하도록
우리사랑 영원하도록",마마사라 (MaMasarah),2018.05.18,87,성인가요/트로트
2911,복덩이,"복덩이 덩이 덩이야
복덩이 덩이 덩이야
행복아 터져라 뚝딱
사랑아 터져라 뚝딱
마음이 부자가 되네요
왜 이제야 내 앞에 나타났나요
넝쿨째 들어온 당신
나를 웃게 만드는 당신은 마법사
때로는 울게 하는 소설가
달덩이처럼 커져만 가는 우리네 사랑
복덩이 덩이 덩이야
복덩이 덩이 덩이야
행복아 터져라 뚝딱
사랑아 터져라 뚝딱
마음이 부자가 되네요
왜 이제야 내 앞에 나타났나요
넝쿨째 들어온 당신
나를 웃게 만드는 당신은 마법사
때로는 울게 하는 소설가
달덩이처럼 커져만 가는 우리네 사랑
복덩이 덩이 덩이야
복덩이 덩이 덩이야
행복아 터져라 뚝딱
사랑아 터져라 뚝딱
마음이 부자가 되네요
마음이 부자가 되네요",류원정,2018.11.16,284,성인가요/트로트
2912,차마,"이놈의 반지를
버릴까 말까 던질까 말까
움켜진 내 손 안에
눈물이 고인다
화려했던 사랑의 언약은
쓸모없는 추억이 되어
사랑이 떠나도
반지 하나 반지 하나
버릴 수 없더라
그대의 그 사랑을
지울 수 없더라
차마 차마 지울 수 없더라
화려했던 사랑의 언약은
쓸모없는 추억이 되어
사랑이 떠나도 반지 하나
반지 하나 버릴 수 없더라
그대의 그 사랑을 지울 수 없더라
차마 차마 지울 수 없더라",김희진,2020.01.15,708,성인가요/트로트
2913,99.9,"붙잡아 내 뒤를 꼭 잡아
기회는 한 번 뿐이야
보기엔 소박하고
계산은 느리지만
당신 하나쯤
행복하게 할 수 있어
멋진 옷에 좋은 차
부러워 하지마
빈수레가 요란하잖아
속이 꽉찬 남자
구십 구점 구
사랑도 구십 구점 구
거짓없는 마음 하나로
당신만을 기다리잖아
MC인석 큐티경래
유호 섹시지훈
따라와 날 믿고 따라와
더이상 망설이지마
꾸미기 싫어하고
말씨는 서툴지만
당신 앞에선
누구보다 남자답지
번지르한 겉 모습
거기에 속지 마
빈 깡통이 소리가 크지
속이 꽉 찬 남자 구십 구점 구
사랑도 구십 구점 구
거짓없는 마음 하나로
당신만을 기다리잖아
속이 꽉 찬 남자 구십 구점 구
사랑도 구십 구점 구
거짓없는 마음 하나로
당신만을 기다리잖아
당신만을 사랑할거야",세상 모든 대디에게 경래,2020.01.24,882,성인가요/트로트
2914,"이따,이따요","가끔은 짧은 치마를 입고
가끔은 짙은 화장을 하면
아주 낯선 시선들이
하나 둘 다가와요
남자니
미소 한 번 건네고
남자니
한 번쯤은 튕기고
마지못해
대답해 주면
어느새 내게로 와
안돼 안돼
좀 이따이따 이따요
그래 그래
더 이따이따 이따요
우린 아직 모르는게
너무나 많아요
안돼 안돼
더 다가오지 마세요
그래 그래 더
조금만 더 천천히
정말 나를
원한다면 아껴주세요
처음엔 달콤한 말뿐이죠
이래도 저래도 다 좋대요
여자들은 똑같아요
조금만 천천히요
오늘은 손만 잡아 줄래요
입술은
나중에 허락할래
나의 마음까지 안아줄
그런 여자를 원해
안돼 안돼 좀
이따이따 이따요
그래 그래 더
이따이따 이따요
남자 맘을 몰라주는
여자는 싫어요
안돼 안돼
오늘은 여기까지만
그래 그래
너무 서두르지 마요
정말 나를 원한다면
원한다면 아껴주세요
안돼 안돼 좀
이따이따 이따요
그래 그래 더
이따이따 이따요
남자 맘을 몰라주는
여자는 싫어요
안돼 안돼
오늘은 여기까지만
그래 그래
너무 서두르지 마요
정말 나를 원한다면
아 아아 아 아아
아껴주세요",김희재,2020.04.10,"5,098",성인가요/트로트
2915,러브레터,"구름에 달빛가린 캄캄한 밤에
나홀로 잠 못 들어요
당신 앞에 자신이 없어
몰래 편지를 써요
사랑의 까막눈인데
내가 왜 이럴까
몰라요 나도 몰라요
울고만 싶어
아무리 써봐도
자꾸만 보아도
뭔가 빠졌어
사랑해요 I love you
그 한 마디가
아 얄미운 사람
낯설은 이름에 깜짝 놀랐죠
바로 당신이군요
누가 볼까 숨을 멈추고
몰래 읽어 봅니다
사랑의 까막눈인데
내가 왜 이럴까
몰라요 나도 몰라요
울고만 싶어
아무리 읽어도
자꾸만 보아도
뭔가 빠졌어
I love you I love you
그 한마디가
아 얄미운사람
구름에 달빛가린 캄캄한 밤에
나홀로 잠 못 들어요
당신 앞에 자신이 없어
몰래 편지를 써요
사랑의 까막눈인데
내가 왜 이럴까
몰라요 나도 몰라요
울고만 싶어
아무리 써봐도
자꾸만 보아도
뭔가 빠졌어
사랑해요 I love you
그 한 마디가
아 얄미운 사람",김희재,2020.04.17,"6,772",성인가요/트로트
2916,애모,"그대 가슴에 얼굴을 묻고
오늘은 울고 싶어라
세월의 강 넘어 우리 사랑은
눈물속에 흔들리는데
얼만큼 나 더 살아야
그대를 잊을 수 있나
한마디 말이 모자라서
다가설 수 없는 사람아
그대 앞에만 서면
나는 왜 작아지는가
그대 등 뒤에 서면
내눈은 젖어드는가
사랑 때문에 침묵해야 할
나는 당신의 남자
그리고 추억이 있는 한
당신은 나의 여자여
그대 앞에만 서면
나는 왜 작아지는가
그대 등 뒤에 서면
내 눈은 젖어 드는가
사랑 때문에 침묵해야 할
나는 당신의 남자
그리고 추억이 있는 한
당신은 나의 여자여
당신의 나의 여자여",김희재,2020.05.08,"3,791",성인가요/트로트
2917,대박 날 테다,"오늘은 또 몇 시에 집에 가
칼퇴가 웬 말 눈치싸움 실패했어
매일 똑같은 하루 속에
숨이 막힐 것 같은 나지만
잘 봐 곧 좋은 날 올 테니까
Oh 대박 대박 대박 나에게로 와라
크게 한번 터트려보자
그대로 나를 따라 따라와 니가 위너다
빨리빨리 따라와
좋아 청춘아 좋아 힘을 내봐
웃자 세상아 대박 날 테다
숨죽이고 오늘도 난 버텨
며칠만 참자 월급이면 해결된다
잘하면 니 덕 잘못하면
나를 탓하냐 만만해 내가
잘 봐 곧 터질 날 올 테니까
Oh 대박 대박 대박 나에게로 와라
크게 한번 터트려보자
그대로 나를 따라 따라와 니가 위너다
빨리빨리 따라와
좋아 청춘아 좋아 힘을 내봐
웃자 세상아 대박 날 테다
Oh 대박 대박 대박 나에게로 와라
크게 한번 터트려보자
그대로 나를 따라 따라와 니가 위너다
빨리빨리 따라와
좋아 청춘아 좋아 힘을 내봐
웃자 세상아 대박 날 테다
대박 날 테다
대박 날 테다",장민호,2020.07.09,"1,854","성인가요/트로트, 국내드라마"
2918,짝사랑,"마주치는 눈빛이 / 무엇을 말하는지
난 아직 몰라 / 난 정말 몰라
가슴만 두근두근 / 사랑인가 봐

(말해주세요 / 말해주세요)
사랑한다고 좋아한다고 말해주세요
눈물만큼 고운 별이 될래요
그대 가슴에


마주치는 눈빛이 / 무엇을 말하는지
난 아직 몰라 / 난 정말 몰라
가슴만 두근두근 / 사랑인가 봐

해 질 무렵이면 창가에 앉아
나는요 어느샌가 그대 모습 그려요
사랑한다고 좋아한다고 말해주세요
눈물만큼 고운 별이 될래요
그대 가슴에

사랑하는 그대의 / 그대의 / 그대의


(사랑한다 말해요 / 좋아한다 말해요)
(사랑한다 말해요 / 말해주세요)

속삭이는 눈빛이 / 무엇을 말하는지
난 아직 몰라 / 난 정말 몰라
가슴만 두근두근 / 사랑했나 봐
(몰라 / 아직 몰라) 정말 몰라

그대 지나치는 시간이 되면
나는요 어느샌가 거울 앞에 있어요
사랑한다고 좋아한다고 말해주세요
눈물만큼 고운 별이 될래요
그대 가슴에

(사랑한다 말해요 / 좋아한다 말해요)
사랑한다 말해요 / 말해줘요

(사랑한다 말해요)“진짜?” / (좋아한다 말해요) “정말?”
(사랑한다 말해요)“좋아!” / (말해주세요)“Hey!”
(사랑한다 말해요) 좋아 / (좋아한다 말해요)“좋아!”
(사랑한다 말해요) 말해주세요“Hey!”

사랑한다 말해요 / 좋아한다 말해요
사랑한다 말해요 / 말해주세요
(사랑해 / 좋아해)

꺼지지 않는 (사랑해 / 좋아해)

별이 될래요",요요미,2020.11.21,203,성인가요/트로트
2919,진짜 진짜 좋아해 (심수봉 Ver.),"누가 너를 내게 보내주었나
나 너를 위해 웃음 보내고
나 너를 알고 그리움 알았네
낙엽 지는 소리 좋아하던 너
아 난 몰랐네
네가 낙엽 될 줄은
아 넌 들었니
내가 널 좋아한 단 말 음
진짜 진짜 좋아해
너를 너를 좋아해
아 난 몰랐네
네가 낙엽 될 줄은
아 넌 들었니
내가 널 좋아한 단 말 음
진짜 진짜 좋아해
너를 너를
진짜 진짜 좋아해
너를 너를 좋아해",김사은,2021.01.15,160,성인가요/트로트
2920,사랑밖엔 난 몰라,"그대 내 곁에 선 순간
그 눈빛이 너무 좋아
어제는 울었지만 오늘은 당신 땜에
내일은 행복할 거야
얼굴도 아니 멋도 아니 아니
부드러운 사랑만이 필요했어요
지나간 세월 모두 잊어버리게
당신 없인 아무것도 이젠
할 수 없어 사랑밖엔 난 몰라
무심히 버려진 날 위해
울어주던 단 한 사람
커다란 어깨 위에 기대고 싶은 꿈을
당신은 깨지 말아요
이날을 언제나 기다렸어요
서러운 세월만큼 안아주세요
그리운 바람처럼 사라질까 봐
사랑하다 헤어지면 다시
보고 싶고 당신이 너무 좋아
당신 없인 아무것도 이젠
할 수 없어 보고 싶고
사랑밖엔 난 몰라",최향,2021.02.14,204,성인가요/트로트
2921,일편단심,"나도 몰래 사랑했나봐
아프도록 사랑했나봐
시간 흐르고 흐르고 흘러도
그대라는 사람 못 잊을 것 같아요
나도 몰래 사랑했나봐
가슴 아픈 사연을 담고
눈물 흐르고 흐르고 흘러도
나를 위로 해줄 그대라는 사람을
아 두 번 다시
아 못 할 사랑
가슴 찢어지는 아픔이 와도
그대만 사랑할래요
내 평생에 단 하나 소원
그대 사랑하다 죽는 일
다음 세상 외면 말아요
그때 꼭 다시 만나요
나도 몰래 사랑했나봐
아프도록 사랑했나봐
시간 흐르고 흐르고 흘러도
그대라는 사람 못 잊을 것 같아요
나도 몰래 사랑했나봐
가슴 아픈 사연을 담고
눈물 흐르고 흐르고 흘러도
나를 위로 해 줄 그대라는 사람을
아 두 번 다시
아 못 할 사랑
가슴 찢어지는 아픔이 와도
그대만 사랑할래요
내 평생에 단 하나 소원
그대 사랑하다 죽는 일
다음 세상 외면 말아요
그때 꼭 다시 만나요
그때 꼭 다시 만나요",홍지윤,2021.06.02,992,성인가요/트로트
2922,님의 등불,"동쪽에서 부는 바람
님의 옷깃 스칠라
서쪽에서 부는 바람
님의 살갗 스칠라
하나밖에 없는 내님이여
누가 볼까 두렵소
장독 뒤에 숨길까
이내 등 뒤에 숨길까
세찬 비바람 불어도
거센 눈보라가 닥쳐도
나는 영원한 당신의 등불이 되리라
세월 따라 변하는 게
님의 얼굴 이더냐
강물처럼 흘러가는
가는 세월 야속하오
내 영혼을 심어 사랑한 님
누가 볼까 두렵소
장독 뒤에 숨길까
이내 등 뒤에 숨길까
세찬 비바람 불어도
거센 눈보라가 닥쳐도
나는 영원한 당신의 등불이 되리라
장독 뒤에 숨길까
이내 등 뒤에 숨길까
세찬 비바람 불어도
거센 눈보라가 닥쳐도
나는 영원한 당신의 등불이 되리라",장민호,2021.06.29,"1,859",성인가요/트로트
2923,꽃물,"꽃물이 들었어요
외로웠던 나의 가슴에
빨강 노랑 분홍빛에
곱디 고운 사랑 꽃물이
어서 내게로 오세요
어서 손잡아 주세요
나는 그대 남자예요
하나도 아낌없이 하나도 남김없이
모두 모두 줄게요
눈물이랑 주지 말아요
아픔일랑 주지 말아요
이제는 그대만이
나에게 전부에요
영원히 영원히 영원히
꽃 물든 나의 가슴에
상처를 주지 마세요
그대를 사랑합니다
꽃물이 들었어요
외로웠던 나의 가슴에
빨강 노랑 분홍빛에
곱디 고운 사랑 꽃물이
어서 내게로 오세요
어서 손잡아 주세요
나는 그대 남자예요
하나도 아낌없이 하나도 남김없이
모두모두 줄게요
눈물이랑 주지 말아요
아픔일랑 주지 말아요
이제는 그대만이 나에게 전부예요
영원히 영원히 영원히
꽃 물든 나의 가슴에
상처를 주지 마세요
그대를 사랑합니다
그대를 사랑합니다",김희재,2021.09.14,"2,002",성인가요/트로트
2924,참 좋은 날 (Inst.),"유난히 힘이 들던 날 꽃이 되어
별이 되어 내게로 다가온 당신
소리 내어 울고 싶던 날 운명처럼
연인처럼 내게 온 선물
그대 없인 나도 없었고
그대 있어 나도 있네요
꿈을 꾸듯 그대와 걸어갈게요
하늘까지 저 구름까지
참 좋은 날 그 어느 날 우리 만난 날
또 시련이 우릴 막을지라도
우리 밝게 빛날 그 날에 두 손 꼭 잡고
함께 걸어갈게요
우리 그렇게 약속해
그대 없인 숨 쉴 수 없고
그대 있어 내가 사네요
평생토록 그대만 지켜줄게요
해가 되어 저 달이 되어
참 좋은 날 그 어느 날 우리 만난 날
또 시련이 우릴 막을지라도
우리 밝게 빛날 그 날에
두 손 꼭 잡고 함께 걸어갈게요
우리 그렇게 약속해
수많은 계절들이 피고 또 저물어가도
그대만 영원히 내 사랑인 걸요
참 좋은 날 그 멋진 날 눈부신 그날에
가슴 아린 슬픔은 모두 잊어버려요
우리 함께 웃을 수 있게
그대 손 절대 놓치지 않을게요
내가 그댈 지킬게요 참 좋은 날입니다",이찬원,2021.12.09,"3,088",성인가요/트로트
